29	road house	rowdy herrington	thriller/action	1h 54m	38%	1989	n/a	TRUE	A tough bouncer is hired to tame a dirty bar.
30	santa claus conquers the martians	nicholas webster	fantasy/sci-fi/holiday	1h 21m	24%	1964	n/a	TRUE	The Martians kidnap Santa Claus because there is nobody on Mars to give their children presents.
31	rawhead rex	george pavlou	thriller/fantasy	1h 29m	29%	1986	n/a	TRUE	Ireland will never be the same after Rawhead Rex, a particularly nasty demon, is released from his underground prison by an unwitting farmer.
32	terrorvision	ted nicolaou	thriller/cult	1h 23m	43%	1986	n/a	TRUE	A family's new satellite TV system starts receiving signals from another planet, and soon it becomes the passageway to an alien world.
33	leprechaun	mark jones	slasher/cult	1h 32m	23%	1993	n/a	TRUE	An evil, sadistic Leprechaun goes on a killing rampage in search of his beloved pot of gold.
34	anaconda	luis llosa	thriller/action	1h 30m	40%	1997	n/a	TRUE	A "National Geographic" film crew is taken hostage by an insane hunter, who forces them along on his quest to capture the world's largest - and deadliest - snake.
35	house ii: the second story	ethan wiley	adventure/horror	1h 28m	9%	1987	n/a	TRUE	The new owner of a sinister house gets involved with reanimated corpses and demons searching for an ancient Aztec skull with magic powers.
36	the howling	joe dante	drama/fantasy	1h 31m	68%	1981	n/a	TRUE	After a bizarre and near deadly encounter with a serial killer, a television newswoman is sent to a remote mountain resort whose residents may not be what they seem.
37	gigli	martin brest	crime/romance	2h 1m	6%	2003	n/a	TRUE	Larry Gigli is assigned by a crime boss to kidnap the brother of a prominent district attorney. A beautiful woman known only as Ricki is sent to stay with him to make sure he doesn't mess up the job.
38	frankenstein island	jerry warren	sci-fi/horror	1h 37m	7%	1981	n/a	TRUE	When a hot-air balloon crashes on a remote island, the crew discovers Dr. Frankenstein's ancestor carrying on the family work, along with a race of mutants and a population of Amazons.
39	ishtar	elaine may	adventure	1h 47m	38%	1987	n/a	TRUE	Two terrible lounge singers get booked to play a gig in a Moroccan hotel but somehow become pawns in an international power play between the C.I.A., the Emir of Ishtar, and the rebels trying to overthrow his regime.
40	jaws: the revenge	joseph sargent	thriller/action	1h 32m	15%	1987	jaws 4: the revenge, jaws 4	TRUE	Chief Brody's widow believes that her family is deliberately being targeted by another shark in search of revenge.
41	masters of the universe	gary goddard	fantasy/sci-fi 	1h 46m	17%	1987	n/a	TRUE	n/a
42	exorcist ii: the heretic	john boorman	drama/mystery	1h 57m	17%	1977	n/a	TRUE	A teenage girl once possessed by a demon finds that it still lurks within her. Meanwhile, a priest investigates the death of the girl's exorcist.
43	sgt. pepper's lonely hearts club band	michael schultz	indie/comedy/musical	1h 53m	12%	1978	n/a	TRUE	n/a
44	flash gordon	mike hodges	fantasy/sci-fi	1h 54m	87%	1980	n/a	TRUE	n/a
45	miami connection	y. k. kim, park woo sang	crime/thriller	2h 0m	68%	1987	n/a	TRUE	n/a
46	the giant claw	fred f. sears	horror/sci-fi	1h 15m	33%	1957	n/a	TRUE	n/a
47	my stepmother is an alien	richard benjamin	indie/romance	1h 48m	19%	1988	n/a	TRUE	n/a
48	bill & ted's bogus journey	peter hewitt	fantasy/sci-fi	2 h 0m	54%	1991	n/a	TRUE	n/a
49	explorers	joe dante	fantasy/romance	1h 49m	77%	1985	n/a	FALSE	n/a
50	weird science	john hughes	fantasy/sci-fi	1h 34m	54%	1985	n/a	TRUE	n/a
51	kindergarten cop	ivan reitman	thriller/action	1h 51m	51%	1990	n/a	TRUE	n/a
52	the last starfighter	nick castle	fantasy/sci-fi	1h 48m	77%	1984	n/a	TRUE	n/a
53	the barbarian queen	héctor olivera	fantasy/action	1h 11m	16%	1985	queen of the naked steel	TRUE	n/a
54	the dungeonmaster	charles band, john carl buechler, ted nicolaou, david w. allen, peter manoogian, steven ford, rosemarie turko	fantasy/thriller	1h 16m	16%	1984	n/a	TRUE	n/a
55	waterworld	kevin reynolds	sci-fi/thriller	2h 56m	44%	1995	n/a	TRUE	n/a
56	killer klowns from outer space	stephen chiodo	fantasy/parody	1h 28m	77%	1988	n/a	TRUE	n/a
57	spaced invaders	patrick read johnson	adventure/comedy	1h 40m	8%	1990	n/a	TRUE	n/a
58	kazaam	paul michael glaser	fantasy/comedy	1h 34m	6%	1996	n/a	TRUE	n/a
59	no holds barred	thomas j. wright	action	1h 33m	11%	1989	n/a	TRUE	n/a
60	reemo williams: the adventure begins 	guy hamilton	action/adventure	2h 1m	44%	1985	n/a	TRUE	n/a
61	manos: the hands of fate	harold p. warren	horror	1h 14m	20%	1966	n/a	TRUE	n/a
62	blacula 	william crain	fantasy/blaxploitation	1h 33m	48%	1972	n/a	TRUE	n/a
63	bio-dome 	jason bloom	comedy/slapstick	1h 35m	4%	1996	n/a	TRUE	n/a
64	in the army now 	daniel petrie	comedy/war	1h 31m	6%	1994	n/a	TRUE	n/a
65	son in law 	steve rash	comedy	1h 35m	21%	1993	n/a	TRUE	n/a
66	encino man 	les mayfield	teen/comedy	1h 28m	15%	1992	n/a	TRUE	n/a
67	army of darkness 	sam raimi	cult/action	1h 36m	72%	1992	n/a	TRUE	n/a
68	the flintstones	brian levant	fantasy/crime	1h 32m	22%	1994	n/a	TRUE	n/a
69	day of the warrior	andy sidaris	thriller/action	1h 36m	44%	1996	n/a	TRUE	n/a
70	deathstalker	john watson	fantasy/action/adventure	1h 20m	27%	1983	n/a	TRUE	n/a
71	hawk the slayer	terry marcel	fantasy/action/adventure	1h 34m	56%	1980	n/a	TRUE	n/a
72	zombie strippers	jay lee	cult/exploitation	1h 34m	39%	2008	n/a	TRUE	n/a
73	dark universe	steve latshaw	horror/sci-fi	1h 23m	33%	1993	n/a	TRUE	n/a
74	arena	peter manoogian	sport/indie/sci-fi	1h 55m	33%	1989	n/a	TRUE	n/a
